num_occlusions,MSE,STD
0.0,0.5588244199752808,4.61695606190915e-08
3.0,0.5673436522483826,0.007696065120398998
6.0,0.5774591565132141,0.01419239304959774
9.0,0.592728316783905,0.01581329107284546
12.0,0.61355060338974,0.02228720672428608
15.0,0.636714518070221,0.023021996021270752
18.0,0.6823362112045288,0.029182935133576393
21.0,0.6886616349220276,0.029815079644322395
24.0,0.750212550163269,0.054886799305677414
27.0,0.7384552955627441,0.03753530979156494
30.0,0.8132878541946411,0.05682344734668732
33.0,0.7961039543151855,0.026949265971779823
36.0,0.9017621278762817,0.05428416654467583
39.0,0.8844212293624878,0.08708944171667099
42.0,0.9447113275527954,0.0825224444270134
45.0,1.0081360340118408,0.07805343717336655
48.0,1.1071622371673584,0.05905624106526375
51.0,1.163447618484497,0.1230294331908226
54.0,1.1936030387878418,0.10626323521137238
57.0,1.2739465236663818,0.11991636455059052
60.0,1.3709685802459717,0.0742972269654274
63.0,1.4249389171600342,0.1599196344614029
66.0,1.4600563049316406,0.10704545676708221
69.0,1.5845263004302979,0.10736958682537079
72.0,1.5991233587265015,0.15218284726142883
75.0,1.6993131637573242,0.13065432012081146
78.0,1.8044284582138062,0.084462471306324
81.0,1.8978652954101562,0.18406571447849274
84.0,1.9663606882095337,0.07685326039791107
87.0,2.0290513038635254,0.1035521849989891
90.0,2.141733169555664,0.08849409222602844
93.0,2.2846927642822266,0.05070320889353752
96.0,2.37809419631958,0.0041791340336203575
