num_occlusions,MSE,STD
0.0,0.5588244795799255,5.331201435865296e-08
3.0,0.5636377930641174,0.005032605025917292
6.0,0.5697723627090454,0.006976724602282047
9.0,0.5801669955253601,0.011675253510475159
12.0,0.5886189341545105,0.014303482137620449
15.0,0.610901415348053,0.018416190519928932
18.0,0.6270813941955566,0.014218791387975216
21.0,0.6691428422927856,0.038866832852363586
24.0,0.6699996590614319,0.03845178708434105
27.0,0.7235566973686218,0.059121232479810715
30.0,0.6985454559326172,0.04489007592201233
33.0,0.7383244633674622,0.044533874839544296
36.0,0.8122014999389648,0.04855084419250488
39.0,0.8056157231330872,0.06675942242145538
42.0,0.9008802175521851,0.10569558292627335
45.0,0.9312915802001953,0.09241945296525955
48.0,0.9905999898910522,0.08622965961694717
51.0,0.9769560694694519,0.07771284878253937
54.0,1.0870428085327148,0.09844450652599335
57.0,1.1559340953826904,0.12833479046821594
60.0,1.246071696281433,0.13169953227043152
63.0,1.3351658582687378,0.08398482948541641
66.0,1.2848145961761475,0.15972217917442322
69.0,1.448967695236206,0.1014455258846283
72.0,1.4622104167938232,0.12264306098222733
75.0,1.5731751918792725,0.12411759048700333
78.0,1.6870218515396118,0.10721799731254578
81.0,1.7916780710220337,0.1471216082572937
84.0,1.7934379577636719,0.08122380822896957
87.0,1.956862449645996,0.12181784212589264
90.0,2.0184326171875,0.10811151564121246
93.0,2.096224308013916,0.06306183338165283
96.0,2.2106692790985107,6.658668780801236e-07
