num_occlusions,MSE,STD
0.0,0.09177006781101227,5.107860800990238e-08
3.0,0.09670184552669525,0.0027668699622154236
6.0,0.10318158566951752,0.007923067547380924
9.0,0.11886193603277206,0.009696398861706257
12.0,0.12256524711847305,0.014864807017147541
15.0,0.14214709401130676,0.017080632969737053
18.0,0.1509474217891693,0.016819193959236145
21.0,0.1645851582288742,0.030278492718935013
24.0,0.1687123328447342,0.02146088518202305
27.0,0.19901040196418762,0.025604993104934692
30.0,0.22835174202919006,0.0292589720338583
33.0,0.25367313623428345,0.038026075810194016
36.0,0.2671823799610138,0.04304978623986244
39.0,0.3024858236312866,0.05438980460166931
42.0,0.3243635594844818,0.04616473987698555
45.0,0.3177196681499481,0.028226763010025024
48.0,0.3843252658843994,0.0428415946662426
51.0,0.40680035948753357,0.04182592034339905
54.0,0.4165211617946625,0.048251647502183914
57.0,0.4910214841365814,0.061579979956150055
60.0,0.5204497575759888,0.04754908010363579
63.0,0.5199878811836243,0.057317204773426056
66.0,0.5826914310455322,0.062305234372615814
69.0,0.6192788481712341,0.040069859474897385
72.0,0.6811735033988953,0.06023406609892845
75.0,0.7098262906074524,0.04692312330007553
78.0,0.7767682671546936,0.05115156248211861
81.0,0.7911154627799988,0.02850278839468956
84.0,0.8463062047958374,0.04090091586112976
87.0,0.9118145108222961,0.030989844352006912
90.0,0.9500438570976257,0.03456646949052811
93.0,1.0015251636505127,0.03106057085096836
96.0,1.05962073802948,0.0
